x,y,z,qx,qy,qz,qw
-167.1550599463693,95.26004269329107,-0.002902132325544926,0.0,0.0,0.6853852828763909,0.7281806190887324
-167.06153490936043,98.72036154575633,-0.002952500567701577,0.0,0.0,0.6891349295583326,0.7246330442800908
-166.79960526324643,111.94055586860088,-0.003164784717284874,0.0,0.0,0.690054902079081,0.7237570256077863
-166.29469459896063,123.397313737975,-0.0033637616968391626,0.0,0.0,0.667460938634002,0.744644811569796
-166.4722655290981,124.25130611474427,-0.003385029693767194,0.0,0.0,0.6636773483140952,0.7480189685661528
-166.62181091844727,124.26239941884108,-0.003389148148158938,0.0,0.0,0.6645261085551641,0.7472650473884953
-166.51896096699508,126.46946112622336,-0.003430007278311109,0.0,0.0,0.6602465001086222,0.751048972500672
-162.42502757228752,133.98893552296974,-0.0034786481195254737,0.0,0.0,0.27075603026359873,0.9626480000892835
-160.28465629009327,134.13308043489062,-0.0034275963807104404,0.0,0.0,0.10808871398868097,0.9941412524929609
-160.07903476085764,133.9223524322391,-0.003417995351206571,0.0,0.0,0.10783061365738912,0.9941692807355651
-160.03230199472293,133.9112609009948,-0.0034165882768704137,0.0,0.0,0.10814206827510289,0.9941354500616015
-159.59301445735144,133.7781645085067,-0.003402789805718953,0.0,0.0,0.07242755598452469,0.9973736757775937
-143.57297054576944,133.06810824791776,-0.0030075382197551903,0.0,0.0,0.04326228136254218,-0.9990637492228953
-118.15961524991877,131.13797591515362,-0.002446516963772183,0.0,0.0,0.03710642963457214,-0.9993113192993336
-87.01678083411343,130.01748318820938,-0.0019230908355396537,0.0,0.0,0.019968380977782564,-0.9998006120027764
-67.59456294317455,129.67351662309852,-0.0016808997502977263,0.0,0.0,0.019070754693503486,-0.9998181366205657
-58.621833151097505,129.70673136412952,-0.0015928880728992567,0.0,0.0,0.0009810494151762186,-0.9999995187709066
-37.881742286048095,129.79535578421832,-0.001437955835214666,0.0,0.0,0.009148190201380461,-0.9999581544324939
-7.533354314119144,129.5512887509206,-0.0013250389037864352,0.0,0.0,0.01311036320725263,-0.999914055495058
26.469554453941768,128.87478444273782,-0.0013617078050316422,0.0,0.0,0.016295592466795534,-0.9998672180175506
61.71556548558878,128.1207700156831,-0.0015898689056257354,0.0,0.0,0.017650121781378095,-0.999844224467543
95.19507225380423,127.68849700207838,-0.001992566693203912,0.0,0.0,0.015469283328229796,-0.9998803434778138
139.0866675280644,128.80918764461933,-0.0028204731930259186,0.0,0.0,0.07022168210795608,0.9975314107144342
176.9214450076177,141.90799631538928,-0.004035803782187486,0.0,0.0,0.23139117715869445,0.9728607932963038
215.06451701317985,156.9034794578472,-0.005559266584612033,0.0,0.0,0.10620645431413976,0.9943440999281982
257.8343738697407,158.26867258887629,-0.007177058458566421,0.0,0.0,0.04584611567688671,-0.9989485140272953
299.38954658348797,147.1125335812401,-0.00872236046393482,0.0,0.0,0.24470701681322646,-0.9695970688499276
335.7205372766874,122.30365130911744,-0.010003442094379977,0.0,0.0,0.31148456394597873,-0.9502512122714621
369.50020208923576,94.32284754227787,-0.011392080266503513,0.0,0.0,0.37853311524095923,-0.9255877487661419
398.9621697076208,59.820611999476924,-0.012746646052185895,0.0,0.0,0.45623586207763167,-0.8898588866524176
423.3304185651333,24.808070466191097,-0.014082715236087395,0.0,0.0,0.4683520869133494,-0.8835419190303935
444.79217203646914,-13.809040695259394,-0.015508369574213532,0.0,0.0,0.5522972921210284,-0.8336472282181351
463.9737592554057,-58.28213631825275,-0.01712574935148581,0.0,0.0,0.5070048584516225,-0.8619431962179702
486.88427233446237,-90.10044201249357,-0.01920325144033086,0.0,0.0,0.42964920699704195,-0.902995879795037
495.7923237729439,-100.99113076333582,-0.02005252990380768,0.0,0.0,0.4328982267218004,-0.90144280201304
503.7189166286059,-110.67296794999157,-0.020834223563973353,0.0,0.0,0.42761709835145717,-0.9039599643775603
524.9094978790583,-135.71481204451788,-0.02302670057617462,0.0,0.0,0.4196168500764495,-0.9077013270519761
551.2320098290221,-167.74350617902203,-0.026009800583295828,0.0,0.0,0.4371705504044846,-0.8993786243062707
578.891392816926,-201.33584778899262,-0.029433276077696746,0.0,0.0,0.45037583983665125,-0.8928390688648381
597.5874677727347,-238.5220666141065,-0.03244280859983917,0.0,0.0,0.6000818507647551,-0.7999386053834046
