time,tru_x, tru_y, ukf_x,ukf_y,error
0.20153522491455078,-69.33293914794922, -123.144775390625, -68.0067305860307,-121.9962481120106,1.7544070392663662
0.30145764350891113,-68.67375946044922, -123.20020294189453, -67.48300917340427,-122.05876684226405,1.7019402375676518
0.4012477397918701,-68.67375946044922, -123.20020294189453, -66.50624831333066,-121.72000359262978,2.0095296568846024
0.501366376876831,-67.53697967529297, -123.28349304199219, -65.98402695717314,-121.77273825317458,2.0487907010756192
0.6013660430908203,-66.90080261230469, -123.33137512207031, -65.59398243804884,-122.12187056088919,1.9951606418291277
0.7016503810882568,-66.90080261230469, -123.33137512207031, -65.00405494861579,-122.20162407987391,2.0305857489916908
0.801701545715332,-66.09684753417969, -123.38825988769531, -64.56529108206641,-122.7207212860098,1.9791749724550318
0.9016003608703613,-66.09684753417969, -123.38825988769531, -63.72270456644644,-121.95912071161223,2.0781655649434008
1.0013964176177979,-64.81199645996094, -123.47824096679688, -63.308213106227846,-122.27524851326908,2.06123171830963
1.1013343334197998,-63.959739685058594, -123.53679656982422, -62.74517200624506,-122.32986373773525,2.0263353407485116
1.201171875,-63.54216766357422, -123.56547546386719, -62.26780881515145,-122.40168109366023,1.9990145300707232
1.3013217449188232,-62.86594772338867, -123.5975570678711, -61.759116941914144,-122.85504483776904,1.9434979953022686
1.4014253616333008,-62.33575439453125, -123.62905883789062, -60.712498084203936,-122.06143391028908,1.9675855839978877
1.5013916492462158,-62.33575439453125, -123.62905883789062, -60.374526695091596,-122.09131374921006,2.0050582315428636
1.6015732288360596,-61.56364059448242, -123.67163848876953, -59.818963199308094,-122.12317355377925,2.026903210660096
1.7014062404632568,-60.96548843383789, -123.70452880859375, -59.560673706245005,-122.45230345949516,2.017840927353662
1.8014519214630127,-60.96548843383789, -123.70452880859375, -59.161671767859374,-122.92433695310186,2.0147510299367264
1.9016733169555664,-59.66930389404297, -123.77528381347656, -58.0622233160863,-122.29907844613606,2.0240523939393937
2.001673936843872,-59.66930389404297, -123.77528381347656, -57.47915082817369,-122.32001620449903,2.055921099943204
2.1014366149902344,-58.78894805908203, -123.82255554199219, -56.96143716994507,-122.68257274750772,2.060820876128532
2.2013919353485107,-57.88199996948242, -123.86124420166016, -56.58490108488431,-122.72282381086823,2.044868616665735
2.301485061645508,-57.40723419189453, -123.88182067871094, -56.25486078702181,-123.15379979093223,2.013878088124782
2.4018259048461914,-56.98720169067383, -123.89897918701172, -55.01149345690659,-122.39460633035911,2.034285826533864
2.501347303390503,-56.26762390136719, -123.92818450927734, -54.72375591564536,-122.39049202836543,2.0403154453493006
2.6015312671661377,-55.688392639160156, -123.95124053955078, -54.331189065797595,-122.75347467829113,2.0311088449421404
