t,x,y,cx,cy,bx,by
154.92,-109.66,-108.23, 0.23,-0.01,-0.18,-0.10
156.44,-106.27,-115.35, -0.62,-0.86,-0.18,-0.10
156.86,-104.20,-116.57, -0.46,-1.22,-0.18,-0.11
157.02,-103.44,-116.80, -0.37,-1.20,-0.18,-0.13
157.29,-100.82,-117.32, -0.35,-2.00,-0.19,-0.14
157.47,-100.21,-117.51, -0.27,-2.00,-0.19,-0.16
157.83,-97.01,-117.99, -0.16,-2.00,-0.19,-0.18
158.03,-96.14,-118.11, -0.03,-2.00,-0.19,-0.20
158.17,-95.83,-118.21, 0.09,-2.00,-0.18,-0.21
158.40,-93.48,-118.43, -0.04,-2.00,-0.18,-0.23
158.75,-91.55,-118.60, 0.26,-2.00,-0.18,-0.25
158.93,-90.35,-118.85, -0.03,-2.00,-0.18,-0.26
159.14,-89.07,-119.04, 0.17,-2.00,-0.17,-0.28
159.41,-86.20,-119.34, -0.04,-2.00,-0.17,-0.29
159.71,-84.19,-119.74, 0.16,-2.00,-0.17,-0.31
159.96,-82.14,-120.01, -0.05,-2.00,-0.17,-0.32
160.30,-78.59,-120.61, -0.07,-1.67,-0.17,-0.34
160.42,-78.22,-120.91, -0.04,-1.40,-0.17,-0.35
160.62,-77.35,-121.28, -0.00,-1.12,-0.16,-0.35
160.78,-75.15,-121.45, -0.01,-0.27,-0.16,-0.35
160.97,-73.86,-121.93, 0.04,2.00,-0.16,-0.33
162.48,-63.18,-124.18, 0.01,0.57,-0.16,-0.32
162.72,-61.94,-124.61, 0.00,1.26,-0.16,-0.31
162.91,-59.65,-124.49, 0.02,1.12,-0.16,-0.30
163.12,-58.84,-124.82, 0.01,1.29,-0.16,-0.29
163.34,-56.45,-124.52, 0.01,0.50,-0.15,-0.28
163.61,-54.84,-125.00, 0.00,1.27,-0.15,-0.27
163.77,-54.61,-125.18, -0.00,1.42,-0.15,-0.25
164.09,-51.63,-125.40, -0.01,1.74,-0.15,-0.24
164.26,-49.29,-124.80, -0.00,0.46,-0.15,-0.23
164.47,-48.73,-125.00, -0.00,0.75,-0.15,-0.22
164.69,-47.28,-125.23, -0.02,1.19,-0.15,-0.21
164.86,-45.54,-124.75, -0.00,0.13,-0.15,-0.21
165.10,-43.93,-124.92, -0.03,1.14,-0.15,-0.20
173.98,24.11,-116.91, -0.13,0.48,-0.15,-0.20
174.51,27.41,-116.12, -0.17,0.56,-0.15,-0.19
182.19,69.89,-88.63, -0.23,0.12,-0.15,-0.19
182.43,70.90,-87.00, -0.64,0.29,-0.15,-0.18
182.60,71.20,-86.48, -0.84,0.35,-0.16,-0.18
182.81,71.95,-84.71, -1.21,0.41,-0.16,-0.18
183.05,72.07,-84.07, -1.08,0.34,-0.17,-0.17
183.26,72.21,-83.54, -1.09,0.31,-0.18,-0.17
183.43,72.58,-82.48, -0.94,0.20,-0.18,-0.17
183.66,72.70,-81.72, -1.19,0.21,-0.19,-0.16
183.92,73.04,-79.71, -0.41,0.04,-0.19,-0.16
184.12,72.85,-80.00, 1.67,-0.11,-0.18,-0.16
184.26,72.74,-79.96, 1.72,-0.08,-0.16,-0.16
184.50,72.81,-79.51, 2.00,-0.08,-0.15,-0.16
184.73,72.71,-79.38, 1.97,0.01,-0.13,-0.16
184.99,72.77,-78.87, 2.00,-0.05,-0.12,-0.16
185.14,72.70,-78.85, 1.98,-0.03,-0.11,-0.16
185.35,73.04,-77.76, 1.57,-0.06,-0.09,-0.16
185.61,73.02,-77.33, 1.85,-0.01,-0.08,-0.16
185.87,73.39,-76.04, 0.85,-0.01,-0.08,-0.15
186.17,73.37,-75.40, 0.87,0.01,-0.07,-0.15
186.40,73.67,-73.38, -0.83,-0.04,-0.07,-0.15
186.65,73.64,-72.99, -0.89,-0.05,-0.08,-0.15
186.88,73.65,-71.41, -2.00,-0.27,-0.09,-0.15
187.09,73.48,-70.48, -2.00,-0.40,-0.10,-0.15
187.20,73.40,-70.37, -2.00,-0.46,-0.12,-0.16
187.50,73.22,-68.43, -2.00,-0.78,-0.13,-0.16
187.72,72.92,-67.54, -2.00,-0.60,-0.14,-0.16
187.94,72.88,-66.21, -2.00,-0.61,-0.15,-0.17
188.10,72.88,-66.21, -2.00,-0.61,-0.16,-0.17
188.39,72.78,-63.17, -1.37,-0.04,-0.17,-0.17
188.60,72.76,-62.49, -0.68,-0.02,-0.17,-0.17
188.91,73.44,-60.24, -0.74,0.22,-0.18,-0.16
189.47,74.76,-57.71, -0.49,0.32,-0.18,-0.16
189.66,74.94,-57.44, -0.54,0.36,-0.18,-0.16
189.88,76.33,-55.83, -0.71,0.59,-0.18,-0.15
190.20,76.98,-55.13, -0.45,0.41,-0.19,-0.15
190.48,78.06,-53.79, -0.56,0.49,-0.19,-0.15
190.59,78.29,-53.70, -0.54,0.49,-0.19,-0.14
190.86,79.61,-52.00, -0.51,0.42,-0.19,-0.14
191.03,80.16,-51.33, -0.82,0.71,-0.20,-0.14
191.24,80.71,-50.71, -1.24,1.11,-0.20,-0.13
191.33,80.71,-50.71, -1.55,1.39,-0.21,-0.12
191.51,81.66,-49.52, -1.50,1.08,-0.22,-0.11
191.72,82.19,-48.83, -1.93,1.43,-0.23,-0.10
191.93,82.97,-47.23, -1.66,1.00,-0.23,-0.10
192.19,83.24,-46.66, -1.52,0.93,-0.24,-0.09
192.43,84.09,-44.26, -0.93,0.43,-0.25,-0.09
192.78,85.12,-41.45, -1.65,0.59,-0.25,-0.08
193.05,85.28,-40.50, -1.49,0.53,-0.26,-0.08
193.30,85.78,-38.44, -1.58,0.37,-0.27,-0.08
193.55,85.56,-37.37, -0.89,0.20,-0.27,-0.08
