t,x,y,cx,cy,bx,by
397.98,-102.79,-34.61, 1.45,-0.01,-0.19,-0.15
398.21,-102.88,-34.70, 1.74,-0.01,-0.18,-0.15
398.35,-102.61,-34.61, 1.36,-0.01,-0.18,-0.15
398.51,-102.71,-34.70, 1.18,-0.01,-0.18,-0.15
398.71,-102.83,-34.75, 1.52,-0.01,-0.17,-0.15
398.93,-102.56,-34.65, 1.16,-0.01,-0.17,-0.15
399.13,-102.67,-34.72, 1.16,-0.01,-0.17,-0.15
399.29,-102.38,-34.62, 0.88,-0.01,-0.16,-0.15
399.54,-102.53,-34.75, 1.29,-0.01,-0.16,-0.15
399.77,-102.25,-34.64, 0.81,-0.01,-0.16,-0.15
400.31,-102.00,-34.59, 1.02,-0.01,-0.16,-0.15
400.62,-102.14,-34.74, 0.82,-0.01,-0.15,-0.15
400.72,-102.21,-34.81, 1.09,-0.01,-0.15,-0.15
401.63,-102.09,-34.86, 0.69,-0.01,-0.15,-0.15
404.65,-102.00,-34.94, 0.85,-0.01,-0.15,-0.15
405.72,-102.18,-35.06, 0.57,-0.01,-0.14,-0.15
409.54,-102.10,-35.01, 0.46,-0.01,-0.14,-0.15
409.96,-102.15,-35.02, 0.60,-0.01,-0.14,-0.15
410.24,-102.27,-35.10, 0.80,-0.01,-0.14,-0.15
410.39,-102.08,-34.93, 0.68,-0.01,-0.14,-0.15
410.91,-102.00,-34.83, 0.93,-0.01,-0.14,-0.15
411.14,-102.10,-34.92, 0.55,-0.01,-0.13,-0.15
428.24,-102.09,-34.93, 0.62,-0.01,-0.13,-0.15
441.66,-102.04,-36.25, 0.66,-0.01,-0.13,-0.15
442.24,-102.18,-37.94, 2.00,-0.05,-0.13,-0.15
442.62,-102.20,-39.70, 0.76,-0.01,-0.12,-0.15
442.83,-101.97,-40.60, 0.26,-0.00,-0.12,-0.15
442.98,-102.07,-41.53, 0.12,-0.00,-0.12,-0.15
446.53,-93.23,-54.19, -0.18,-1.12,-0.12,-0.15
446.64,-93.15,-54.34, -0.19,-1.40,-0.12,-0.15
446.83,-91.85,-54.50, -0.16,-1.79,-0.12,-0.15
447.70,-87.53,-54.71, 0.08,-0.70,-0.12,-0.16
448.00,-85.17,-54.82, 0.02,-0.28,-0.12,-0.16
448.22,-84.51,-54.81, 0.08,-0.66,-0.12,-0.16
