time,tru_x, tru_y, ukf_x,ukf_y,error,current_error
0.06085610389709473,-51.607425689697266, -0.6609953045845032, -49.7891466551959,1.3760665265134284,2.7305236770669605,2.7305236770669605
0.1611802577972412,-51.607425689697266, -0.6609953045845032, -49.77122124916704,1.376175187007265,2.7365486757082524,2.7425736743495444
0.2610900402069092,-51.35143280029297, -0.658453643321991, -49.637895171608854,1.3757368892621427,2.7109411129213137,2.6597259873474375
0.3609027862548828,-51.20794677734375, -0.6570991277694702, -49.58324731512534,1.3757639393630696,2.6837911765296014,2.6023413673544646
0.4608786106109619,-50.933753967285156, -0.6545255780220032, -49.312094586456254,1.377691490217188,2.6670208395395196,2.599939491579193
0.560985803604126,-50.867156982421875, -0.6538696885108948, -49.10934256979178,1.3778424349416778,2.67028236112566,2.68658996905636
0.6609508991241455,-50.51169967651367, -0.6506604552268982, -48.96954312171355,1.3819529311725605,2.6533025837809836,2.5514239197129234
0.7609648704528809,-50.03997039794922, -0.6465816497802734, -48.7009838281434,1.3958013285821613,2.626911495917656,2.442173880874366
0.8610742092132568,-50.03997039794922, -0.6465816497802734, -48.65428206669286,1.397209341454333,2.609393961514021,2.469253686284942
0.9610128402709961,-49.481201171875, -0.641373336315155, -48.254752049991886,1.403599754938941,2.586909852419149,2.384552870565296
1.0611250400543213,-49.481201171875, -0.641373336315155, -48.033603958785534,1.4099788215971785,2.5799811205576986,2.5106938019431952
1.1608941555023193,-48.94057846069336, -0.6360539793968201, -47.81323730629838,1.410959343097138,2.5597254304952393,2.336912839808184
1.2608919143676758,-48.08359146118164, -0.6292139887809753, -47.14360448890034,1.4251813613920332,2.5366103219625935,2.259229019570847
1.3607125282287598,-48.08359146118164, -0.6292139887809753, -47.06695189397375,1.4271561684534084,2.5192775606236344,2.2939516632171673
1.46075439453125,-47.616859436035156, -0.6249297857284546, -46.177166069703304,1.4362420932903612,2.5189383255847586,2.514189035040503
1.5610575675964355,-47.008705139160156, -0.6187918186187744, -45.95462913665702,1.4404386938581901,2.5060879515840444,2.313332341573328
