time,tru_x, tru_y, ukf_x,ukf_y,error,current_error
0.1315324306488037,-104.58096313476562, -66.97372436523438, -102.53348362594926,-64.39449758920561,3.2931114620077206,3.2931114620077206
0.23151612281799316,-104.58096313476562, -66.97372436523438, -102.59482923941687,-64.98845061799511,3.0506604014015704,2.8082093407954205
0.33147525787353516,-104.68720245361328, -68.01919555664062, -102.64125692882756,-65.197463145727,3.1955761701818957,3.4854077077425454
0.4316565990447998,-104.75471496582031, -68.63973999023438, -102.70180839277342,-65.77737572928264,3.2772910987479236,3.5224358844460086
0.5315277576446533,-104.75471496582031, -68.63973999023438, -102.71926065862276,-65.66131778675968,3.3433333449397025,3.6075023297068185
0.6315169334411621,-104.89024353027344, -69.90980529785156, -102.82635428308751,-67.0504778774023,3.3738419766550263,3.5263851352316467
0.7317342758178711,-104.89024353027344, -69.90980529785156, -102.72035860432312,-67.33839049511765,3.372522575712448,3.364606170056977
0.8323438167572021,-104.98086547851562, -70.757080078125, -102.82232852505882,-67.7959470988463,3.4090032104426027,3.6643676535536844
0.9315311908721924,-105.03196716308594, -71.23466491699219, -102.85994444219116,-67.95817998574478,3.4670067430897866,3.9310350042672577
1.031583309173584,-105.03196716308594, -71.23466491699219, -102.93089270205851,-68.26467963298606,3.4841099510854727,3.638038823046648
1.1315386295318604,-105.14786529541016, -72.31376647949219, -102.9794319063884,-68.60231609208347,3.5581439834761865,4.298484307383325
1.2316217422485352,-105.18896484375, -72.6959228515625, -103.10737931532812,-69.27825444484499,3.595105451755487,4.001681602827793
1.3313865661621094,-105.29377746582031, -73.600341796875, -103.18502396749044,-69.91698002202872,3.645042703646621,4.244289726340226
1.4317121505737305,-105.32051849365234, -73.8292465209961, -103.24328700325098,-70.5330428723905,3.66297769551925,3.896132589863429
1.5317723751068115,-105.3948974609375, -74.46235656738281, -103.25753660241023,-70.68321739252497,3.7082246626129467,4.341682201924697
1.6317288875579834,-105.45891571044922, -75.00016784667969, -103.43730358143976,-72.11040174139696,3.6968798218098673,3.5267072097636722
