3.570169687271118164e+00 3.645535469055175781e+00 3.960029840469360352e+00 4.535313129425048828e+00
3.562581777572631836e+00 3.647487878799438477e+00 3.965726375579833984e+00 4.536845684051513672e+00
3.566411018371582031e+00 3.637836933135986328e+00 3.953906059265136719e+00 4.530510425567626953e+00
3.575915813446044922e+00 3.628149986267089844e+00 3.955621004104614258e+00 4.543632984161376953e+00
3.581550121307373047e+00 3.628045558929443359e+00 3.955345392227172852e+00 4.544984817504882812e+00
3.562353372573852539e+00 3.627894878387451172e+00 3.927903890609741211e+00 4.542378902435302734e+00
3.564087390899658203e+00 3.627697944641113281e+00 3.937222003936767578e+00 4.543613433837890625e+00
3.565773725509643555e+00 3.627454280853271484e+00 3.946478366851806641e+00 4.517537593841552734e+00
3.559801101684570312e+00 3.609891891479492188e+00 3.946005582809448242e+00 4.526449203491210938e+00
3.561395883560180664e+00 3.615319728851318359e+00 3.918432235717773438e+00 4.531402587890625000e+00
3.547740221023559570e+00 3.628360986709594727e+00 3.927530288696289062e+00 4.528520584106445312e+00
3.549132347106933594e+00 3.618352413177490234e+00 3.915210962295532227e+00 4.529317855834960938e+00
3.542999267578125000e+00 3.615846157073974609e+00 3.922266721725463867e+00 4.514679431915283203e+00
3.548206567764282227e+00 3.600146293640136719e+00 3.919625997543334961e+00 4.507909774780273438e+00
3.553482770919799805e+00 3.597681760787963867e+00 3.911295890808105469e+00 4.491251945495605469e+00
3.539521694183349609e+00 3.608545064926147461e+00 3.883411407470703125e+00 4.493762016296386719e+00
3.546473503112792969e+00 3.617307424545288086e+00 3.888341426849365234e+00 4.490560054779052734e+00
3.538239717483520508e+00 3.599431276321411133e+00 3.887448072433471680e+00 4.493104457855224609e+00
3.543199062347412109e+00 3.587251663208007812e+00 3.892266035079956055e+00 4.493652820587158203e+00
3.544327497482299805e+00 3.590280055999755859e+00 3.887430191040039062e+00 4.507654190063476562e+00
3.537859439849853516e+00 3.602771997451782227e+00 3.882550477981567383e+00 4.510000228881835938e+00
3.535125017166137695e+00 3.603785991668701172e+00 3.879542112350463867e+00 4.493007183074951172e+00
3.528579711914062500e+00 3.591448545455932617e+00 3.897543907165527344e+00 4.493314743041992188e+00
3.529526948928833008e+00 3.577183961868286133e+00 3.867645263671875000e+00 4.485863208770751953e+00
3.526663303375244141e+00 3.587557315826416016e+00 3.872144699096679688e+00 4.501438140869140625e+00
3.523756504058837891e+00 3.595969438552856445e+00 3.846030473709106445e+00 4.505398750305175781e+00
3.520807027816772461e+00 3.594849109649658203e+00 3.859812498092651367e+00 4.490095615386962891e+00
3.519540071487426758e+00 3.578388452529907227e+00 3.875418901443481445e+00 4.495661258697509766e+00
3.514473438262939453e+00 3.575138092041015625e+00 3.875871896743774414e+00 4.491568565368652344e+00
3.515136480331420898e+00 3.575776100158691406e+00 3.864853382110595703e+00 4.495272636413574219e+00
3.508265733718872070e+00 3.580137729644775391e+00 3.851899623870849609e+00 4.489344596862792969e+00
3.503228425979614258e+00 3.573129177093505859e+00 3.867408990859985352e+00 4.498653411865234375e+00
