time,tru_x, tru_y, ukf_x,ukf_y,error
0.059343576431274414,-80.88178253173828, 133.6853485107422, -78.79824373831163,135.96943174205427,3.091629038431817
0.15931916236877441,-80.88178253173828, 133.6853485107422, -78.93345449857864,135.54909522922702,2.893918183206432
0.25974440574645996,-81.00819396972656, 133.31982421875, -79.05767824557054,135.16648118169306,2.824615691810697
0.3592815399169922,-81.30377960205078, 132.464111328125, -79.25112405461222,134.5755215954331,2.854644835141654
0.4596130847930908,-81.30377960205078, 132.464111328125, -79.36390168825164,134.24064856488258,2.809803726708518
0.5595493316650391,-81.46437072753906, 132.00418090820312, -79.55780113122167,133.70692798037084,2.767542853911381
0.6594369411468506,-81.80050659179688, 131.04522705078125, -79.80620750901991,132.9747032605751,2.7685948340353232
0.7594442367553711,-81.80050659179688, 131.04522705078125, -79.9705062508583,132.50603621825576,2.7152144504976796
0.8597981929779053,-82.13406372070312, 130.1381072998047, -80.11354972461774,132.13153006638754,2.728895794824405
0.9598631858825684,-82.20616149902344, 129.94654846191406, -80.33391876108753,131.82629632117212,2.7213125455366844
1.0595762729644775,-82.49457550048828, 129.1932830810547, -80.56132138648117,131.1405228709727,2.723369711840407
1.1596736907958984,-82.66860961914062, 128.74496459960938, -80.72541874769962,130.5141263712918,2.71541494465601
1.2596206665039062,-83.01813507080078, 127.85094451904297, -80.90772654537227,130.0726199972472,2.7422488875682856
1.3598501682281494,-83.16898345947266, 127.46796417236328, -81.06396644360076,129.70460807484406,2.7657617118300473
1.4595844745635986,-83.22716522216797, 127.32060241699219, -81.25856893947409,129.2987864081976,2.7674311530480478
1.5593435764312744,-83.656494140625, 126.24173736572266, -81.60160257596525,128.3488255701627,2.7784164278390735
1.6596169471740723,-83.82125091552734, 125.8579330444336, -81.77928478431451,127.9335015709743,2.786252733788332
1.7592182159423828,-84.10921478271484, 125.1939926147461, -82.02866687328104,127.28319102434592,2.7952643731864106
1.8594777584075928,-84.10921478271484, 125.1939926147461, -82.23977641342208,126.78333947900683,2.777289226900408
1.9595630168914795,-84.51351165771484, 124.28545379638672, -82.30148000344542,126.34494271906252,2.789542093004246
2.0592777729034424,-84.68972778320312, 123.89363098144531, -82.80845576224364,125.82518934506722,2.78510259768197
2.1597254276275635,-84.92704772949219, 123.37030029296875, -82.88689853826605,125.11876109293978,2.7806379320963406
2.2595036029815674,-84.92704772949219, 123.37030029296875, -83.10611844807863,124.58789132116362,2.754979970635414
2.359405279159546,-85.51290893554688, 122.08387756347656, -83.31877548592956,124.23125138497613,2.7681094419754757
2.459723711013794,-85.61052703857422, 121.87040710449219, -83.4855768029008,123.69801204519487,2.769496104419145
