time,tru_x, tru_y, ukf_x,ukf_y,error
0.20516753196716309,-181.79872131347656, -48.555999755859375, -178.84909199793128,-46.73126980376877,3.468422191311304
0.30528688430786133,-181.79872131347656, -48.555999755859375, -179.11079603653437,-47.18050185771842,3.243924376564892
0.405318021774292,-182.67076110839844, -48.54815673828125, -180.2158215933232,-47.28351767704817,3.0831257704505144
0.5050489902496338,-183.4152069091797, -48.5408935546875, -180.66458643989162,-47.33652267371154,3.0630282736919856
0.6050763130187988,-183.4152069091797, -48.5408935546875, -181.11963956872773,-47.378268121512946,2.9650614170407117
0.7054059505462646,-184.31858825683594, -48.532596588134766, -181.5916120802505,-47.82094916543843,2.940601956508401
0.8057405948638916,-184.93362426757812, -48.527122497558594, -182.25400766774678,-47.873914853792506,2.9145279108456714
0.9053328037261963,-185.535400390625, -48.52175521850586, -183.2565669655231,-47.311567201517065,2.8727418822219777
1.0055656433105469,-185.535400390625, -48.52175521850586, -183.6366109194184,-47.33957992744896,2.8020733682947347
1.1052513122558594,-186.18283081054688, -48.51597213745117, -184.07006373416465,-47.78987230694273,2.745271619643111
1.2052111625671387,-186.87213134765625, -48.50984573364258, -184.44062567806753,-47.86194289834596,2.724460212564219
1.3049578666687012,-187.26217651367188, -48.50637435913086, -184.96969445400816,-48.36686436699929,2.688815453795444
1.4052555561065674,-187.85939025878906, -48.501068115234375, -185.6040933598145,-47.25830085810834,2.680063548929224
1.5052189826965332,-188.3101348876953, -48.49693298339844, -185.95823399211147,-47.30761553907987,2.6768811640401995
1.6054222583770752,-188.6903533935547, -48.493534088134766, -186.432948558375,-47.73834027725583,2.6571142144461155
1.705235242843628,-188.6903533935547, -48.493534088134766, -187.08778167236596,-47.82660436164588,2.599532611487174
1.8054840564727783,-189.5041046142578, -48.48629379272461, -187.44881785405659,-48.32545326316991,2.567887787336567
1.9053089618682861,-189.5041046142578, -48.48629379272461, -188.22112417155662,-47.18256379349257,2.5268462069611086
2.0059309005737305,-190.46066284179688, -48.47772979736328, -188.55752006298135,-47.21291339053881,2.514123079036619
2.105515241622925,-190.46066284179688, -48.47772979736328, -189.26010054604342,-47.678653026046035,2.4605257579772224
2.2058913707733154,-191.25497436523438, -48.47067642211914, -189.4571381595862,-47.67733290511945,2.436933945544285
2.3055222034454346,-192.04299926757812, -48.46367645263672, -190.0251533429939,-48.228929531906616,2.4185030717984755
2.4052631855010986,-192.6581268310547, -48.46321105957031, -190.45738788051233,-47.26106862831284,2.4223798039515843
2.505232334136963,-192.6581268310547, -48.46321105957031, -190.90753405168653,-47.305591522250324,2.4088943007480705
2.60524845123291,-193.3916778564453, -48.49690246582031, -191.37546886888364,-47.78041364615438,2.3981278262755477
2.706099271774292,-193.83526611328125, -48.52016067504883, -191.80290661185637,-48.220796418613006,2.3849032635750858
2.8052291870117188,-193.83526611328125, -48.52016067504883, -192.33370102290064,-48.32671066955663,2.3526466651914766
2.9053735733032227,-194.60519409179688, -48.5672492980957, -192.572321662658,-47.51447101135482,2.3503844242610374
3.005455493927002,-194.60519409179688, -48.5672492980957, -193.16508196108043,-47.59700538427569,2.329214645021666
3.1055538654327393,-195.312744140625, -48.6341438293457, -193.50198655219904,-48.00117630334652,2.315514154186948
3.206113576889038,-195.89157104492188, -48.75718307495117, -193.90779290576427,-48.064488230809246,2.3086020257065107
3.305570363998413,-195.89157104492188, -48.75718307495117, -194.4858552645892,-48.160341212758794,2.284182365497972
3.4056191444396973,-196.32577514648438, -48.86483383178711, -194.66944052333548,-47.627767453205415,2.277610526738402
3.505051851272583,-197.41156005859375, -49.22188186645508, -195.50753594105973,-48.123552349630145,2.2752719280290177
3.6053569316864014,-197.41156005859375, -49.22188186645508, -195.95396106503904,-48.23090985394083,2.260623036889053
3.7054083347320557,-198.00062561035156, -49.43480682373047, -196.41580065843561,-48.75623782016794,2.245716438775877
