time,tru_x, tru_y, ukf_x,ukf_y,error,current_error
2.538334369659424,-199.7632598876953, -41.74134826660156, -197.72179464195167,-39.729319834846365,2.8663284458991103,2.8663284458991103
2.6382250785827637,-199.7632598876953, -41.74134826660156, -197.72166027780622,-39.72873280569911,2.8665823371579386,2.866836228416767
2.738231658935547,-199.77012634277344, -41.61513137817383, -197.72552807531255,-39.64460556623999,2.857589744398009,2.839604558878149
2.83847713470459,-199.77012634277344, -41.61513137817383, -197.7264584875503,-39.631618089152006,2.855183498122795,2.8479647592971533
2.938173294067383,-199.78121948242188, -41.40813446044922, -198.22576849627717,-39.62767041534644,2.756988420448009,2.3642081097488648
3.038402557373047,-199.78121948242188, -41.40813446044922, -198.23292968887836,-39.58696171385236,2.69588544522748,2.3903705691248316
3.1385345458984375,-199.80035400390625, -41.04977035522461, -198.24000230107066,-39.48793390975818,2.62614761897148,2.2077206614354825
3.238401174545288,-199.8063201904297, -40.93718338012695, -198.06159785274968,-39.07293569733764,2.6170449605649746,2.5533263517194373
3.338433265686035,-199.81594848632812, -40.75778579711914, -198.56978781840905,-39.0535283359478,2.5608463978566984,2.1112578961904864
3.438136100769043,-199.83079528808594, -40.4815673828125, -199.06350917052836,-38.95821502303077,2.475329351659293,1.7056759358826488
3.5387203693389893,-199.86135864257812, -39.913597106933594, -199.10893406932243,-38.57292198330188,2.390061679995677,1.5373849633595096
3.6383070945739746,-199.86135864257812, -39.913597106933594, -199.62758095340922,-38.49090664735641,2.31103735653361,1.4417697984508788
3.738698959350586,-199.88504028320312, -39.475467681884766, -198.99246062287168,-37.75749863750896,2.2821887281750968,1.9360051878729372
3.8386213779449463,-199.9015655517578, -39.16958236694336, -199.52269897936478,-37.60487841238215,2.2341694432099044,1.6099187386624014
3.9382526874542236,-199.9450225830078, -38.369964599609375, -199.57943119535506,-37.19527113122881,2.1672427468610036,1.230268997976392
4.038364410400391,-199.9450225830078, -38.369964599609375, -199.63478941563517,-36.845586218871176,2.1290167366209727,1.5556265830205127
4.138153076171875,-199.97903442382812, -37.88390350341797, -200.19478196177664,-36.791317803451214,2.0692912408563124,1.1136833086217506
4.238869667053223,-200.01185607910156, -37.39161682128906, -199.37948353318023,-35.70071115637711,2.054624274763117,1.8052858511787966
4.338252305984497,-200.0516357421875, -36.7906379699707, -199.9445264067837,-35.47037090940999,2.016202190086274,1.3246046659030992
4.438300609588623,-200.0516357421875, -36.7906379699707, -200.02403590641916,-34.95029557356611,2.0074195477716352,1.8405493437934892
4.538635015487671,-200.145751953125, -35.397796630859375, -200.61932658395557,-34.654162013001994,1.9538103574603585,0.8816265512348205
4.638145685195923,-200.18995666503906, -34.749691009521484, -200.73944011399968,-33.99744124499304,1.907344620839333,0.9315641517977981
4.738369703292847,-200.18995666503906, -34.749691009521484, -201.24554019010577,-34.31449735979124,1.8740589840184243,1.141774973958437
