time,tru_x, tru_y, ukf_x,ukf_y,error
0.10834407806396484,-200.0131072998047, -37.378814697265625, -198.65304069232994,-35.7767214946568,2.1015431964661784
0.20832395553588867,-200.0131072998047, -37.378814697265625, -198.687757643871,-35.27641883096658,2.2934119413246496
0.30840611457824707,-200.06158447265625, -36.65438461303711, -199.24350512411456,-35.00617686699261,2.1422966013075437
0.40842127799987793,-200.1179656982422, -35.822017669677734, -199.2936376074128,-34.52249794956277,1.9914519260909387
0.50846266746521,-200.15321350097656, -35.302364349365234, -198.53416565484252,-33.57887444047938,2.066098466650497
0.608328104019165,-200.20828247070312, -34.49996566772461, -198.56597599517815,-32.931157791436505,2.10028129501292
0.7083785533905029,-200.20828247070312, -34.49996566772461, -198.56853940009276,-32.34273816035683,2.1873388368523616
0.8084399700164795,-200.26339721679688, -33.70083236694336, -198.61716015069297,-31.807098829825804,2.2275774240090946
0.9084162712097168,-200.31643676757812, -33.00655746459961, -198.7404874767983,-31.40364036423872,2.229833139823659
1.008448839187622,-200.31643676757812, -33.00655746459961, -198.8097112737596,-30.755084046395496,2.2777622520347474
1.1085031032562256,-200.37657165527344, -32.19940948486328, -199.27429906770863,-30.722894448196257,2.238200240332092
1.208404779434204,-200.41854858398438, -31.64236831665039, -198.72569214910814,-29.60770892140776,2.2722510314042403
1.3084769248962402,-200.4834747314453, -30.78207015991211, -198.78921730819997,-28.920434739695235,2.2910917136812903
1.4084155559539795,-200.4834747314453, -30.78207015991211, -198.82248819991946,-28.38357487122994,2.3358333222961347
1.5084106922149658,-200.59011840820312, -29.37655258178711, -198.80469836492324,-27.7493849232005,2.3411549087916366
1.608428716659546,-200.59011840820312, -29.37655258178711, -198.87498986780545,-27.182534918566127,2.3688857385896087
1.7084643840789795,-200.640625, -28.71319007873535, -198.92746986364077,-26.65938399096304,2.3868638147722807
1.80845046043396,-200.70730590820312, -27.683263778686523, -198.96191636375195,-26.12082759801404,2.38440254066626
1.9083483219146729,-200.73019409179688, -27.34640121459961, -198.99996336516668,-25.7556853347967,2.382609520780111
2.008246421813965,-200.78424072265625, -26.52834129333496, -199.04253326165977,-25.09739715233422,2.376186032261347
2.1083147525787354,-200.81277465820312, -26.09571647644043, -199.61195977851708,-24.903015775408967,2.343628641362338
2.2084364891052246,-200.81277465820312, -26.09571647644043, -199.11838009274672,-23.81946645819221,2.3660843944676797
2.3085310459136963,-200.8738250732422, -25.167585372924805, -199.12237322627306,-23.42057271528976,2.370767245424135
